figure_title,figure_path
UNEP: State of Finance for Nature 2022 - Exhibit 13,https://images.andbiodiversity.info/unep_nature_finance_2022_ex13.png
UNEP: State of Finance for Nature 2022 - Exhibit 17,https://images.andbiodiversity.info/unep_nature_finance_2022_ex17.png
UNEP: State of Finance for Nature 2022 - Exhibit 18,https://images.andbiodiversity.info/unep_nature_finance_2022_ex18.png
IPBES Global Assessment: Summary for Policymakers - Fig 1,https://images.andbiodiversity.info/ipbes_fig_spm1.jpg
IPBES Global Assessment: Summary for Policymakers - Fig 2,https://images.andbiodiversity.info/ipbes_fig_spm2.png
IPBES Global Assessment: Summary for Policymakers - Fig 3,https://images.andbiodiversity.info/ipbes_fig_spm3.png
Stockholm Resilience Centre: Planetary Boundary Framework (2009),https://images.andbiodiversity.info/planetary_boundaries_2009.jpg
IPBES and IPCC Workshop Report - Fig 1.2,https://images.andbiodiversity.info/ipbes_ipcc_fig1_2.png
IPBES and IPCC Workshop Report - Fig 1.3,https://images.andbiodiversity.info/ipbes_ipcc_fig1_3.png
IPBES and IPCC Workshop Report - Fig 2.2,https://images.andbiodiversity.info/ipbes_ipcc_fig2_2.png
IPBES and IPCC Workshop Report - Fig 6.5,https://images.andbiodiversity.info/ipbes_ipcc_fig6_5.png
IPBES and IPCC Workshop Report - Fig 7.2,https://images.andbiodiversity.info/ipbes_ipcc_fig7_2.png
IPBES and IPCC Workshop Report - Fig 7.4,https://images.andbiodiversity.info/ipbes_ipcc_fig7_4.png
BCG: Biodiversity Crisis is a Business Crisis - Exhibit 1,https://images.andbiodiversity.info/bcg_2021_ex1.png
BCG: Biodiversity Crisis is a Business Crisis - Exhibit 2,https://images.andbiodiversity.info/bcg_2021_ex2.png
BCG: Biodiversity Crisis is a Business Crisis - Pg. 7,https://images.andbiodiversity.info/bcg_2021_pg7.png
SEI UK Nitrogen Report: Intro Infographic,https://images.andbiodiversity.info/sei_nitrogen-report-summary-intro-infographic.png
UNEP: Making Peace with Nature - Fig 2.6,https://images.andbiodiversity.info/unep_makingpeace_fig2_6.png
UNEP: Making Peace with Nature - Fig 2.7,https://images.andbiodiversity.info/unep_makingpeace_fig2_7.png
UNEP: Making Peace with Nature - Fig 3.1,https://images.andbiodiversity.info/unep_makingpeace_fig3_1.png
UNEP: Making Peace with Nature - Fig 3.3,https://images.andbiodiversity.info/unep_makingpeace_fig3_3.png
UNEP: Making Peace with Nature - Fig 3.4,https://images.andbiodiversity.info/unep_makingpeace_fig3_4.png
UNEP: Making Peace with Nature - Fig 3.7,https://images.andbiodiversity.info/unep_makingpeace_fig3_7.png
UNEP: Making Peace with Nature - Fig 3.9,https://images.andbiodiversity.info/unep_makingpeace_fig3_9.png
UNEP: Making Peace with Nature - Fig 6.2,https://images.andbiodiversity.info/unep_makingpeace_fig6_2.png
UNEP: Making Peace with Nature - Fig 6.3,https://images.andbiodiversity.info/unep_makingpeace_fig6_3.png
UNEP: Making Peace with Nature - Fig 8.1,https://images.andbiodiversity.info/unep_makingpeace_fig8_1.png
Stockholm Resilience Centre: Planetary Boundary Framework (2022),https://images.andbiodiversity.info/planetary_boundaries_2022.png
WWF Living Planet (2020) - Indexes,https://images.andbiodiversity.info/wwf_living_planet_2020_fig_indexes.png
Dasgupta Review - Fig 2,https://images.andbiodiversity.info/dasgupta_review_fig2.png
Dasgupta Review - Fig 3,https://images.andbiodiversity.info/dasgupta_review_fig3.png
Dasgupta Review - Fig 6,https://images.andbiodiversity.info/dasgupta_review_fig6.png
Dasgupta Review - Fig 9,https://images.andbiodiversity.info/dasgupta_review_fig9.png
Dasgupta Review - Fig 10,https://images.andbiodiversity.info/dasgupta_review_fig10.png
Dasgupta Review - Fig 11,https://images.andbiodiversity.info/dasgupta_review_fig11.png
Dasgupta Review - Fig 12,https://images.andbiodiversity.info/dasgupta_review_fig12.png
Dasgupta Review - Fig 13,https://images.andbiodiversity.info/dasgupta_review_fig13.png
Dasgupta Review - Fig 15,https://images.andbiodiversity.info/dasgupta_review_fig15.png
Dasgupta Review - Fig 16,https://images.andbiodiversity.info/dasgupta_review_fig16.png
Dasgupta Review - Fig 18,https://images.andbiodiversity.info/dasgupta_review_fig18.png
Dasgupta Review - Fig 19,https://images.andbiodiversity.info/dasgupta_review_fig19.png
Dasgupta Review - Fig 20,https://images.andbiodiversity.info/dasgupta_review_fig20.png
Dasgupta Review - Fig 21,https://images.andbiodiversity.info/dasgupta_review_fig21.png
Kew: State of the World's Plants and Fungi 2020 - Ch 2 Fig 1,https://images.andbiodiversity.info/kew_2020_ch2_fig1.png
Kew: State of the World's Plants and Fungi 2020 - Ch 2 Fig 2,https://images.andbiodiversity.info/kew_2020_ch2_fig2.png
Kew: State of the World's Plants and Fungi 2020 - Ch 2 Fig 3,https://images.andbiodiversity.info/kew_2020_ch2_fig3.png
Kew: State of the World's Plants and Fungi 2020 - Ch 3 Fig 1,https://images.andbiodiversity.info/kew_2020_ch3_fig1.png
Kew: State of the World's Plants and Fungi 2020 - Ch 4 Fig 1,https://images.andbiodiversity.info/kew_2020_ch4_fig1.png
Kew: State of the World's Plants and Fungi 2020 - Ch 4 Fig 3,https://images.andbiodiversity.info/kew_2020_ch4_fig3.png
Kew: State of the World's Plants and Fungi 2020 - Ch 5 Fig 1,https://images.andbiodiversity.info/kew_2020_ch5_fig1.png
Kew: State of the World's Plants and Fungi 2020 - Ch 5 Box 1,https://images.andbiodiversity.info/kew_2020_ch5_box1.png
Kew: State of the World's Plants and Fungi 2020 - Ch 6 Box 1,https://images.andbiodiversity.info/kew_2020_ch6_box1.png
Kew: State of the World's Plants and Fungi 2020 - Ch 7 Fig 1,https://images.andbiodiversity.info/kew_2020_ch7_fig1.png
Kew: State of the World's Plants and Fungi 2020 - Ch 7 Fig 2,https://images.andbiodiversity.info/kew_2020_ch7_fig2.png
EEA: Carbon stocks and sequestration 2020 - Fig 1,https://images.andbiodiversity.info/eea_2020_fig1.png
EEA: Carbon stocks and sequestration 2020 - Fig 2,https://images.andbiodiversity.info/eea_2020_fig2.png
WWF Living Planet (2020) - Fig 4,https://images.andbiodiversity.info/wwf_living_planet_2020_fig4.png
WWF Living Planet (2020) - Fig 5,https://images.andbiodiversity.info/wwf_living_planet_2020_fig5.png
WWF Living Planet (2020) - Fig 8,https://images.andbiodiversity.info/wwf_living_planet_2020_fig8.png
WWF Living Planet (2020) - Fig 10,https://images.andbiodiversity.info/wwf_living_planet_2020_fig10.png
WWF Living Planet (2020) - Fig 12,https://images.andbiodiversity.info/wwf_living_planet_2020_fig12.png
WWF Living Planet (2020) - Fig 13,https://images.andbiodiversity.info/wwf_living_planet_2020_fig13.png
WWF Living Planet (2020) - Fig 15,https://images.andbiodiversity.info/wwf_living_planet_2020_fig15.png
WWF Living Planet (2020) - Fig 17,https://images.andbiodiversity.info/wwf_living_planet_2020_fig17.png
WWF Living Planet (2020) - Fig 20,https://images.andbiodiversity.info/wwf_living_planet_2020_fig20.png
WWF Living Planet (2020) - Fig 22,https://images.andbiodiversity.info/wwf_living_planet_2020_fig22.png
WWF Living Planet (2020) - Fig 23,https://images.andbiodiversity.info/wwf_living_planet_2020_fig23.png
WWF Living Planet (2020) - Fig 24,https://images.andbiodiversity.info/wwf_living_planet_2020_fig24.png
WWF Living Planet (2020) - Fig 25,https://images.andbiodiversity.info/wwf_living_planet_2020_fig25.png
WWF Living Planet (2020) - Fig 26,https://images.andbiodiversity.info/wwf_living_planet_2020_fig26.png
WWF Living Planet (2020) - Fig 27,https://images.andbiodiversity.info/wwf_living_planet_2020_fig27.png
WWF Living Planet (2020) - Fig 28,https://images.andbiodiversity.info/wwf_living_planet_2020_fig28.png
Brauman - Fig 1,https://images.andbiodiversity.info/brauman_fig1.jpg
Brauman - Fig 2,https://images.andbiodiversity.info/brauman_fig2.jpg
IPCC: Sixth Assessment Part 2 - Fig 2,https://images.andbiodiversity.info/ipcc_spm_2022_fig2.png
IPCC: Sixth Assessment Part 2 - Fig 3,https://images.andbiodiversity.info/ipcc_spm_2022_fig3.png
UNEP: Becoming #GenerationRestoration - Ch2 Fig,https://images.andbiodiversity.info/unep_restoration_ch2_fig.png
UNEP: Becoming #GenerationRestoration - Ch3 Fig,https://images.andbiodiversity.info/unep_restoration_ch3_fig.png
UNEP: Becoming #GenerationRestoration - Ch5 Fig,https://images.andbiodiversity.info/unep_restoration_ch5_fig.png
IUCN: Using ecosystem risk assessment - Fig 1,https://images.andbiodiversity.info/iucn_restoration_fig1.png
IUCN: Using ecosystem risk assessment - Fig 2,https://images.andbiodiversity.info/iucn_restoration_fig2.png
IUCN: Using ecosystem risk assessment - Fig 3,https://images.andbiodiversity.info/iucn_restoration_fig3.png
IUCN: Using ecosystem risk assessment - Fig 4,https://images.andbiodiversity.info/iucn_restoration_fig4.png
IUCN: Using ecosystem risk assessment - Fig 5,https://images.andbiodiversity.info/iucn_restoration_fig5.png
IUCN: Using ecosystem risk assessment - Fig 6,https://images.andbiodiversity.info/iucn_restoration_fig6.png
IUCN: Using ecosystem risk assessment - Fig 7,https://images.andbiodiversity.info/iucn_restoration_fig7.png
IUCN: Using ecosystem risk assessment - Fig 11,https://images.andbiodiversity.info/iucn_restoration_fig11.png
WWF Living Planet (2022) - Fig 1,https://images.andbiodiversity.info/wwf_living_planet_2022_fig1.png
WWF Living Planet (2022) - Fig 2,https://images.andbiodiversity.info/wwf_living_planet_2022_fig2.png
WWF Living Planet (2022) - Fig 3,https://images.andbiodiversity.info/wwf_living_planet_2022_fig3.png
WWF Living Planet (2022) - Fig 4,https://images.andbiodiversity.info/wwf_living_planet_2022_fig4.png
WWF Living Planet (2022) - Fig 5,https://images.andbiodiversity.info/wwf_living_planet_2022_fig5.png
WWF Living Planet (2022) - Fig 6,https://images.andbiodiversity.info/wwf_living_planet_2022_fig6.png
WWF Living Planet (2022) - Fig 7,https://images.andbiodiversity.info/wwf_living_planet_2022_fig7.png
WWF Living Planet (2022) - Fig 8,https://images.andbiodiversity.info/wwf_living_planet_2022_fig8.png
WWF Living Planet (2022) - Fig 10,https://images.andbiodiversity.info/wwf_living_planet_2022_fig10.png
WWF Living Planet (2022) - Fig 11,https://images.andbiodiversity.info/wwf_living_planet_2022_fig11.png
WWF Living Planet (2022) - Fig 11,https://images.andbiodiversity.info/wwf_living_planet_2022_fig12.png
WWF Living Planet (2022) - Fig 13,https://images.andbiodiversity.info/wwf_living_planet_2022_fig13.png
WWF Living Planet (2022) - Fig 14,https://images.andbiodiversity.info/wwf_living_planet_2022_fig14.png
WWF Living Planet (2022) - Fig 15,https://images.andbiodiversity.info/wwf_living_planet_2022_fig15.png
WWF Living Planet (2022) - Fig 16,https://images.andbiodiversity.info/wwf_living_planet_2022_fig16.png
WWF Living Planet (2022) - Fig 17,https://images.andbiodiversity.info/wwf_living_planet_2022_fig17.png
WWF Living Planet (2022) - Fig 18,https://images.andbiodiversity.info/wwf_living_planet_2022_fig18.png
WWF Living Planet (2022) - Fig 19,https://images.andbiodiversity.info/wwf_living_planet_2022_fig19.png
WWF Living Planet (2022) - Fig 21,https://images.andbiodiversity.info/wwf_living_planet_2022_fig21.png
WWF Living Planet (2022) - Fig 23,https://images.andbiodiversity.info/wwf_living_planet_2022_fig23.png
IUCN Red List Quadrennial Report 2017–2020 - Pg 2,https://images.andbiodiversity.info/iucn_redlist_pg2.png
IUCN Red List Quadrennial Report 2017–2020 - Pg 18,https://images.andbiodiversity.info/iucn_redlist_pg18.png
